loss,acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
1.1342415809631348,0.5301281809806824,147.34065437316895,False,,,1,8458ad6ae52a4d3f95cbc955a1f235c4,2020-12-13_06-44-59,1607859899,147.34065437316895,871072,archdesktop,192.168.0.191,147.34065437316895,0,1,4873e_00000,"0_hidden_act=gelu,hidden_dropout_prob=0.1,lr=7.4593e-05,max_seq_length=48"
1.5263690948486328,0.5057692527770996,124.39964270591736,False,,,2,8458ad6ae52a4d3f95cbc955a1f235c4,2020-12-13_06-47-04,1607860024,271.7402970790863,871072,archdesktop,192.168.0.191,271.7402970790863,0,2,4873e_00000,"0_hidden_act=gelu,hidden_dropout_prob=0.1,lr=7.4593e-05,max_seq_length=48"
2.0032999515533447,0.49166664481163025,122.57130122184753,False,,,3,8458ad6ae52a4d3f95cbc955a1f235c4,2020-12-13_06-49-06,1607860146,394.31159830093384,871072,archdesktop,192.168.0.191,394.31159830093384,0,3,4873e_00000,"0_hidden_act=gelu,hidden_dropout_prob=0.1,lr=7.4593e-05,max_seq_length=48"
